Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,spindex_close_adjusted,spindex_volume_adjusted
2018-07-24,2820.679932,2829.98999,2811.120117,2820.399902,3417530000,0,0,1.342215218,0.136926206
2018-07-25,2817.72998,2848.030029,2817.72998,2846.070068,3553010000,0,0,1.374087202,0.226204168
2018-07-26,2835.48999,2845.570068,2835.26001,2837.439941,3653330000,0,0,1.363372068,0.292312561
2018-07-27,2842.350098,2843.169922,2808.340088,2818.820068,3415710000,0,0,1.340253701,0.135726871
2018-07-30,2819,2821.73999,2798.110107,2802.600098,3245770000,0,0,1.320115045,0.023740623
2018-07-31,2809.72998,2824.459961,2808.060059,2816.290039,3892100000,0,0,1.337112427,0.449656073
2018-08-01,2821.169922,2825.830078,2805.850098,2813.360107,3496990000,0,0,1.333474634,0.189288376
2018-08-02,2800.47998,2829.909912,2796.340088,2827.219971,3467380000,0,0,1.35068299,0.16977612
2018-08-03,2829.620117,2840.379883,2827.370117,2840.350098,3030390000,0,0,1.366985308,-0.118189458
2018-08-06,2840.290039,2853.290039,2835.97998,2850.399902,2874540000,0,0,1.379463109,-0.220890745
2018-08-07,2855.919922,2863.429932,2855.919922,2858.449951,3162770000,0,0,1.38945802,-0.030954319
2018-08-08,2856.790039,2862.439941,2853.090088,2857.699951,2972200000,0,0,1.388526823,-0.156535226
2018-08-09,2857.189941,2862.47998,2851.97998,2853.580078,3047050000,0,0,1.383411604,-0.107210931
2018-08-10,2838.899902,2842.199951,2825.810059,2833.280029,3256040000,0,0,1.358207136,0.030508299
2018-08-13,2835.459961,2843.399902,2819.879883,2821.929932,3158450000,0,0,1.344114897,-0.033801092
2018-08-14,2827.879883,2843.110107,2826.580078,2839.959961,2976970000,0,0,1.366500916,-0.153391914
2018-08-15,2827.949951,2827.949951,2802.48999,2818.370117,3645070000,0,0,1.339695044,0.286869426
2018-08-16,2831.439941,2850.48999,2831.439941,2840.689941,3219880000,0,0,1.367407256,0.006679755
2018-08-17,2838.320068,2855.629883,2833.72998,2850.129883,3024100000,0,0,1.379127854,-0.122334412
2018-08-20,2853.929932,2859.76001,2850.620117,2857.050049,2748020000,0,0,1.387719907,-0.304264289
2018-08-21,2861.51001,2873.22998,2861.320068,2862.959961,3147140000,0,0,1.395057632,-0.041254102
2018-08-22,2860.98999,2867.540039,2856.050049,2861.820068,2689560000,0,0,1.393642345,-0.34278798
2018-08-23,2860.290039,2868.780029,2854.030029,2856.97998,2713910000,0,0,1.38763291,-0.326741934
2018-08-24,2862.350098,2876.159912,2862.350098,2874.689941,2596190000,0,0,1.409621533,-0.404316496
2018-08-27,2884.689941,2898.25,2884.689941,2896.73999,2854080000,0,0,1.436998794,-0.234373378
2018-08-28,2901.449951,2903.77002,2893.5,2897.52002,2683190000,0,0,1.437967276,-0.346985652
2018-08-29,2900.620117,2916.5,2898.399902,2914.040039,2791860000,0,0,1.458478472,-0.275374816
2018-08-30,2908.939941,2912.459961,2895.219971,2901.129883,2802180000,0,0,1.442449269,-0.268574191
2018-08-31,2898.370117,2906.320068,2891.72998,2901.52002,2880260000,0,0,1.442933661,-0.217121407
